UserId,Timestamp,"Please enter your city, state/province, and country.",What is your current age?,What is your gender?,What is the first initial of your name?
1,2023/06/21 11:18:09 AM AST,"New York, NY, USA",31,Female,"O, P, Q, or R"
2,2023/06/21 12:50:34 PM AST,"Miami, FL, USA",58,Male,"G, H, I, or J"
3,2023/06/21 1:47:39 PM AST,London,28,Female,"S, T, U, or V"
4,2023/06/21 2:51:14 PM AST,"Nakuru, Kenya",23,Male,"S, T, U, or V"
5,2023/06/21 4:48:28 PM AST,"Seattle, WA USA",37,Female,"D, E, or F"
6,2023/06/23 10:54:49 AM AST,"Brooklyn, New York, USA",29,Male,"O, P, Q, or R"
7,2023/06/23 11:55:25 AM AST,"Navi Mumbai, Maharashtra, India",27,Male,"S, T, U, or V"
8,2023/06/23 12:25:24 PM AST,"Boston, MA. USA",41,Male,"G, H, I, or J"
9,2023/06/23 5:08:11 PM AST,"Schenectady, NY, USA ",24,Female,"O, P, Q, or R"
10,2023/06/23 10:52:54 PM AST,"San Jose, California, USA",45,Female,"A, B, or C"
11,2023/06/24 2:05:51 PM AST,"Lekki, Lagos, Nigeria",25,Male,"S, T, U, or V"
12,2023/06/24 4:15:44 PM AST,"Nairobi, Kenya",30,Female,"G, H, I, or J"
13,2023/06/24 7:08:50 PM AST,"Sydney, NSW, Australia",26,Male,"K, L, M, or N"
14,2023/06/25 1:04:38 AM AST,Nairobi ,30,Female,"O, P, Q, or R"
15,2023/06/25 1:14:37 AM AST,"New Brunswick, New Jersey, USA",24,Male,"O, P, Q, or R"
16,2023/06/25 1:22:59 AM AST,pune,28,Male,"O, P, Q, or R"
17,2023/06/25 1:23:57 AM AST,India,28,Male,"O, P, Q, or R"
18,2023/06/25 1:29:23 AM AST,Mumbai ,27,Female,"K, L, M, or N"
19,2023/06/25 3:00:54 AM AST,"Ulwe, Navi Mumbai",27,Male,"S, T, U, or V"
20,2023/06/25 3:28:19 AM AST,Pune,27,Male,"O, P, Q, or R"
21,2023/06/25 4:00:00 AM AST,Kenya,33,Male,"A, B, or C"
22,2023/06/25 6:06:56 AM AST,"Mumbai, Maharashtra and India",28,Male,"A, B, or C"
23,2023/06/25 6:10:22 AM AST,Kenya,27,Male,"A, B, or C"
24,2023/06/25 9:46:19 AM AST,"Hamburg, Germany",32,Female,"G, H, I, or J"
25,2023/06/25 9:51:24 AM AST,"Lagos, Nigeria",33,Male,"D, E, or F"
26,2023/06/25 9:54:37 AM AST,Thane,28,Male,"O, P, Q, or R"
27,2023/06/25 10:46:40 AM AST,Miami,52,Female,"K, L, M, or N"
28,2023/06/25 2:02:43 PM AST,"Kenya, Nairobi ",26,Female,"G, H, I, or J"
29,2023/06/26 6:52:44 AM AST,"Mumbai, Maharashtra, India",27,Female,"K, L, M, or N"
30,2023/06/26 7:42:51 AM AST,Grimstad,30,Female,"K, L, M, or N"
31,2023/06/26 10:18:10 AM AST,"Douala, Littoral, Cameroon",24,Female,"D, E, or F"
32,2023/06/26 11:47:33 AM AST,"Yaounde, Centre, Cameroun",30,Male,"S, T, U, or V"
33,2023/06/26 3:11:41 PM AST,"Seattle, WA",43,Male,"K, L, M, or N"
34,2023/06/26 4:38:46 PM AST,"Buenos Aires, Argentina",19,Male,"S, T, U, or V"
35,2023/06/27 9:37:01 AM AST,Kenya,25,Male,"G, H, I, or J"
36,2023/06/27 12:58:13 PM AST,"Granada, Spain",44,Male,"K, L, M, or N"
37,2023/06/28 3:48:21 AM AST,Switzerland ,41,Male,"A, B, or C"
38,2023/06/28 4:42:38 AM AST,KrakÃ³w Lesser Poland Poland ,21,Male,"K, L, M, or N"
39,2023/06/28 4:44:05 AM AST,"KrakÃ³w, Poland",31,Female,"K, L, M, or N"
40,2023/06/28 4:54:30 AM AST,UK,28,Female,"K, L, M, or N"
41,2023/06/28 5:13:19 AM AST,"Funchal, Portugal",34,Female,"D, E, or F"
42,2023/06/28 5:50:52 AM AST,"Cracow, Lesserpoland, Poland",27,Male,"A, B, or C"
43,2023/06/28 5:56:43 AM AST,Cracov,26,Female,"A, B, or C"
44,2023/06/28 5:58:35 AM AST,UK,23,Female,"A, B, or C"
45,2023/06/28 6:09:09 AM AST,Krakow Poland,18,Male,"K, L, M, or N"
46,2023/06/28 6:28:50 AM AST,United Kingdom,25,Female,"G, H, I, or J"
47,2023/06/28 6:39:23 AM AST,"KrakÃ³w, Polska",28,Female,"K, L, M, or N"
48,2023/06/28 6:59:24 AM AST,"KrakÃ³w, maÅ‚opolskie, Polska",27,Male,"K, L, M, or N"
49,2023/06/28 7:50:25 AM AST,Cracow/ Poland,27,Female,"K, L, M, or N"
50,2023/06/29 4:04:07 AM AST,London,40,Male,"O, P, Q, or R"
51,2023/06/29 11:10:47 AM AST,"Akola, Maharashtra, India",28,Male,"S, T, U, or V"
52,2023/06/30 3:07:56 AM AST,"Cracow, Lesser, Poland",30,Female,"A, B, or C"
53,2023/06/30 6:32:17 AM AST,"Krakow, Poland",25,Female,"A, B, or C"
54,2023/06/30 8:22:18 AM AST,"Cochin, Kerala, India ",47,Female,"A, B, or C"
55,2023/07/02 2:32:03 AM AST,Dhaka -Bangladesh,27,Female,"D, E, or F"
56,2023/07/02 4:22:51 AM AST,"Rajshahi, Bangladesh ",29,Female,"S, T, U, or V"
